epoch,acc,loss,val_acc,val_loss
0,0.8168749943971634,0.49396830728650093,0.8228749997615814,0.4856094673871994
1,0.8628359150158267,0.32917390263074625,0.8608333307504654,0.33285227216780183
2,0.8764999928474426,0.2978937839269638,0.8741666626930237,0.2942454370856285
3,0.879819721058123,0.28180337498411273,0.8934166581630707,0.24619716434180736
4,0.8893333246707916,0.2586036256104708,0.890624995470047,0.26403796923160555
5,0.8871249922513962,0.259219790905714,0.8962916576862335,0.2446688667126
6,0.8938749928474427,0.25321983924508096,0.9054166578054428,0.2237504700794816
7,0.8977499916553497,0.23853967714309693,0.9069166626930237,0.21615385264903306
8,0.8993333259820938,0.23753815591335298,0.9097083224058151,0.21760418643057347
9,0.9043982572775217,0.23066693058626378,0.8779999961853028,0.29869788414239884
10,0.9054999939203262,0.22553478752076625,0.9052083241939545,0.22941547276079655
11,0.9088749927282334,0.21802714164555073,0.9202499952316284,0.19301899048686028
12,0.9152061339909874,0.20651515496033815,0.9052499904632568,0.23234675781428815
13,0.9119999929666519,0.21339697616919875,0.8872916597127914,0.27604084856808186
14,0.9132916601896286,0.2062308329194784,0.9006249949932098,0.24601722405850887
15,0.9200050019298605,0.19656307502842332,0.9148333268165588,0.20818983505666255
16,0.9208749928474427,0.1966654160618782,0.9168749961853028,0.20788961839675904
17,0.9217083271741867,0.19345742603391408,0.9239166622161865,0.18979436617344617
18,0.9229999949932098,0.18767407650500537,0.9308749959468842,0.17618618942424655
19,0.9238023663617756,0.18401598490487353,0.9294166609048843,0.17566954581439495
